"ID","Name","Sex","Age","Height","Weight","Team","NOC","Games","Year","Season","City","Sport","Event","Medal"
"28312","Mare Dibaba Hurssa (-Ibrahimova-)","F","26","156","45","Ethiopia","ETH","2016 Summer","2016","Summer","Rio de Janeiro","Athletics","Athletics Women's Marathon","Bronze"
"20280","Chen Weiqiang","M","26","156","60","China","CHN","1984 Summer","1984","Summer","Los Angeles","Weightlifting","Weightlifting Men's Featherweight","Gold"
"7108","Vladimir Nikolayevich Bakulin","M","29","156","52","Soviet Union","URS","1968 Summer","1968","Summer","Mexico City","Wrestling","Wrestling Men's Flyweight, Greco-Roman","Silver"
"23244","Antonio Cosentino","M","41","156","68","Venilia","ITA","1960 Summer","1960","Summer","Roma","Sailing","Sailing Mixed Three Person Keelboat","Bronze"
"7744","Ernest Barberolle","M","58","156","56","France","FRA","1920 Summer","1920","Summer","Antwerpen","Rowing","Rowing Men's Coxed Pairs","Silver"
"23192","Robin Marie Corsiglia (-Scholefield)","F","13","157","45","Canada","CAN","1976 Summer","1976","Summer","Montreal","Swimming","Swimming Women's 4 x 100 metres Medley Relay","Bronze"
"12762","Svetlana Leonidovna Boginskaya","F","15","157","44","Soviet Union","URS","1988 Summer","1988","Summer","Seoul","Gymnastics","Gymnastics Women's Individual All-Around","Bronze"
"12762","Svetlana Leonidovna Boginskaya","F","15","157","44","Soviet Union","URS","1988 Summer","1988","Summer","Seoul","Gymnastics","Gymnastics Women's Team All-Around","Gold"
"12762","Svetlana Leonidovna Boginskaya","F","15","157","44","Soviet Union","URS","1988 Summer","1988","Summer","Seoul","Gymnastics","Gymnastics Women's Horse Vault","Gold"
"12762","Svetlana Leonidovna Boginskaya","F","15","157","44","Soviet Union","URS","1988 Summer","1988","Summer","Seoul","Gymnastics","Gymnastics Women's Floor Exercise","Silver"
"29686","Gabrielle Christina Victoria ""Gabby"" Douglas","F","16","157","50","United States","USA","2012 Summer","2012","Summer","London","Gymnastics","Gymnastics Women's Individual All-Around","Gold"
"29686","Gabrielle Christina Victoria ""Gabby"" Douglas","F","16","157","50","United States","USA","2012 Summer","2012","Summer","London","Gymnastics","Gymnastics Women's Team All-Around","Gold"
"2513","Galina Aleksandrovna Alekseyeva","F","17","157","50","Soviet Union","URS","1964 Summer","1964","Summer","Tokyo","Diving","Diving Women's Platform","Bronze"
"20880","Silvia Chivs Bar","F","17","157","58","Cuba","CUB","1972 Summer","1972","Summer","Munich","Athletics","Athletics Women's 100 metres","Bronze"
"20880","Silvia Chivs Bar","F","17","157","58","Cuba","CUB","1972 Summer","1972","Summer","Munich","Athletics","Athletics Women's 4 x 100 metres Relay","Bronze"
"16527","Friederike ""Fritzi"" Burger (-Nishikawa-, -Russell)","F","17","157","NA","Austria","AUT","1928 Winter","1928","Winter","Sankt Moritz","Figure Skating","Figure Skating Women's Singles","Silver"
"31592","Romy Eggimann","F","18","157","54","Switzerland","SUI","2014 Winter","2014","Winter","Sochi","Ice Hockey","Ice Hockey Women's Ice Hockey","Bronze"
"18222","Mary Louise Carew (-Armstrong)","F","18","157","45","United States","USA","1932 Summer","1932","Summer","Los Angeles","Athletics","Athletics Women's 4 x 100 metres Relay","Gold"
"12762","Svetlana Leonidovna Boginskaya","F","19","157","44","Unified Team","EUN","1992 Summer","1992","Summer","Barcelona","Gymnastics","Gymnastics Women's Team All-Around","Gold"
"30388","Diana Gnkova Dudeva","F","20","157","46","Bulgaria","BUL","1988 Summer","1988","Summer","Seoul","Gymnastics","Gymnastics Women's Floor Exercise","Bronze"
"10448","Isaac ""Ike"" Berger","M","20","157","59.5","United States","USA","1956 Summer","1956","Summer","Melbourne","Weightlifting","Weightlifting Men's Featherweight","Gold"
"10751","Sylvie Bernier","F","20","157","53","Canada","CAN","1984 Summer","1984","Summer","Los Angeles","Diving","Diving Women's Springboard","Gold"
"29686","Gabrielle Christina Victoria ""Gabby"" Douglas","F","20","157","50","United States","USA","2016 Summer","2016","Summer","Rio de Janeiro","Gymnastics","Gymnastics Women's Team All-Around","Gold"
